Economy,Alpha3
Austria,AUT
Italy,ITA
Belgium,BEL
Latvia,LVA
Bulgaria,BGR
Lithuania,LTU
Croatia,HRV
Luxembourg,LUX
Cyprus,CYP
Malta,MLT
Czech Republic,CZE
Netherlands,NLD
Denmark,DNK
Poland,POL
Estonia,EST
Portugal,PRT
Finland,FIN
Romania,ROU
France,FRA
Slovak Republic,SVK
Germany,DEU
Spain,ESP
Hungary,HUN
Sweden,SWE
Ireland,IRL
Brazil,BRA
Mexico,MEX
Colombia,COL
Argentina,ARG
Peru,PER
"Venezuela, RB",VEN
Chile,CHL
Guatemala,GTM
Ecuador,ECU
Bolivia,BOL
Haiti,HTI
Dominican Republic,DOM
Honduras,HND
Paraguay,PRY
El Salvador,SLV
Nicaragua,NIC
Costa Rica,CRI
Puerto Rico,PRI
Panama,PAN
Uruguay,URY
Greece,GRC